,labels,polarity_colors,U_Pb_zircon_dates,U_Pb_zircon_2sigmas,U_Pb_zircon_include,U_Pb_sample_mean,U_Pb_sample_2sigma
0,Red Rock Rhyolite,red,"[1108.411461, 1106.1817199999998, 1105.755822, 1105.504922, 1105.44478, 1105.26646]","[1.168486173, 0.85697308, 0.94457975, 0.456200237, 0.6878130179999999, 1.3660738680000002]","['no', 'yes', 'yes', 'yes', 'yes', 'yes']",1105.6,0.32
1,Agate Point Rhyolite,red,"[1106.5, 1106.0, 1105.66, 1105.41, 1105.05, 1104.92, 1104.71, 1104.46, 1104.4]","[2.21, 0.98, 1.29, 0.63, 0.71, 1.45, 1.91, 0.67, 2.39]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1105.15,0.33
2,Flour Bay tuff,red,"[1104.773494, 1103.700548, 1101.560071, 1101.031439, 1100.826076, 1100.601171, 1100.582326, 1100.292982, 1100.203917, 1099.864781, 1099.524558, 1099.501437]","[1.8963627490000001, 0.8668981179999999, 0.441113108, 1.244090328, 0.616973961, 0.700106571, 1.215360178, 0.6912877890000001, 0.598163157, 0.561478241, 1.065657992, 1.216090486]","['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1100.36,0.25
3,Kallander Creek Rhyolite,blue,"[1098.648832, 1098.337682, 1098.17126, 1097.603885]","[0.766055169, 0.9053480340000001, 1.129440418, 0.910010752]","['yes', 'yes', 'yes', 'yes']",1098.24,0.45
4,40th Ave Icelandite,blue,"[1098.58, 1097.46, 1097.18, 1096.88, 1096.81, 1096.72, 1096.26, 1095.85]","[2.72, 0.73, 0.95, 0.7, 0.8, 0.67, 0.64, 0.99]","['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1096.75,0.28
5,Two Harbors Icelandite,blue,"[1097.33, 1096.44, 1096.27, 1096.08, 1095.74]","[0.71, 0.57, 0.59, 0.7, 0.71]","['no', 'yes', 'yes', 'yes', 'yes']",1096.18,0.32
6,Palisade Rhyolite,blue,"[1096.29, 1094.66, 1094.47, 1094.34, 1094.19, 1093.63, 1093.48, 1093.33]","[1.53, 0.69, 0.77, 0.7, 1.14, 1.09, 0.87, 0.49]","['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1093.94,0.28
7,Grand Marais Rhyolite,blue,"[1094.516507, 1093.982532, 1093.618017, 1093.39512, 1093.3518789999998, 1092.9176]","[1.274182098, 1.50419191, 1.823082731, 0.7847181759999999, 1.0232917670000001, 0.844994279]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1093.52,0.43
8,Copper City Flow,blue,"[1095.63, 1093.59, 1093.23, 1093.14, 1090.97, 1088.73]","[0.57, 0.76, 1.37, 0.85, 0.5, 0.59]","['no', 'yes', 'yes', 'yes', 'no', 'no']",1093.37,0.53
9,Greenstone Flow,blue,"[1092.64, 1091.71, 1091.65, 1091.62, 1091.32, 1091.31]","[0.94, 0.52, 0.75, 0.95, 0.67, 0.49]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1091.59,0.27
10,Lake Shore Trap andesite,blue,"[1089.659441, 1086.717353, 1086.623345, 1086.001877, 1085.656141, 1085.43624, 1085.4159539999998, 1085.034023]","[2.9632910889999997, 1.0176392220000001, 0.756765685, 0.599094427, 0.48838189, 0.66750177, 0.5458781779999999, 0.5637776170000001]","['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']",1085.57,0.25
11,West Sand Bay Tuff,blue,"[1089.13797, 1084.735324, 1084.506762, 1084.3440640000001, 1084.226424, 1083.953673, 1083.873962, 1083.129078, 1077.7768529999998, 1076.660867]","[2.091226565, 1.048717587, 0.333916962, 0.311309412, 1.530109874, 0.667725975, 0.76633578, 0.7272089190000001, 0.8361904790000001, 0.674092881]","['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']",1084.35,0.2
12,Davieux Island Rhyolite,blue,"[1087.406351, 1084.114818, 1083.7489970000001, 1083.444793, 1083.424053, 1083.2694210000002]","[1.3028535190000001, 1.013031741, 0.6669179510000001, 0.501759983, 0.485528631, 0.37251793899999996]","['no', 'yes', 'yes', 'yes', 'yes', 'yes']",1083.52,0.23
13,Partridge River intrusion,darkblue,"[1096.3692956957627, 1096.3411986087767, 1096.2716614846156, 1096.0751600559138, 1096.058665576924, 1096.0240417320206]","[0.4540650746678668, 0.44939847012038203, 0.4599440697776132, 0.45550100706121255, 0.4686343271844428, 0.48205726640619423]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1096.1949149677969,0.18829360877861095
14,Bald Eagle intrusion,darkblue,"[1096.1747761266788, 1096.0388091332786, 1095.9663539547246, 1095.9073716094272, 1095.8294512561415, 1095.292982374321]","[0.4484241145264616, 0.45859332803922687, 0.4802533807184589, 0.46388784843702074, 0.4588772041295667, 0.49906345454407103]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1095.8845755325888,0.19078005572414714
15,Duluth area anorthositic series (AS3),darkblue,"[1096.23, 1096.09, 1095.97, 1095.94, 1095.8, 1095.8, 1095.79, 1095.52]","[0.88, 0.58, 0.5, 0.49, 0.49, 0.46, 0.49, 0.57]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1095.8622134886054,0.18711199066156345
16,Forest Center anorthositic series (FC-1),darkblue,"[1096.2692620731762, 1096.190625997245, 1095.9590451750257, 1095.9588778593463, 1095.9479102675455, 1095.8062500380308, 1095.6181145394917, 1095.6152665233676, 1095.485327885376, 1095.3513154252175]","[0.5108447698370121, 0.5053458354644664, 0.50941995682678, 0.4820965194463052, 0.6279698857308398, 0.46609622883057517, 0.49861850841874183, 0.46854790030357507, 0.47954487056750644, 0.49555218262557155]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1095.8064839177662,0.15803362004300317
17,Forest Center anorthositic series (FC-4b),darkblue,"[1095.8461922193035, 1095.8358206391165, 1095.738377048332, 1095.6808821333138, 1095.6753210569088, 1095.599212060158, 1095.4478277810538, 1094.561150581704]","[0.46875239873114355, 0.4659085093712412, 0.4755110151940767, 0.465805828654215, 0.5103013007339603, 0.4556266526777439, 0.47752759979400655, 0.4668273396030379]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",1095.68996253492,0.17893748108450228
18,Houghtaling Creek troctolite,darkblue,"[1095.664310374369, 1095.613548461745, 1095.297234750898, 1095.098898562946, 1094.545659623049, 1094.1810481702798, 1093.8600419655584, 1093.7861403331542, 1093.659914880034, 1093.2441460131251, 1093.2216798999798]","[0.4670155927134175, 0.5158799382054571, 0.6023768443159107, 0.5088006807490645, 0.8312970567119717, 0.47832752461703015, 0.5046284546951774, 0.5681029733514378, 2.035107700158419, 1.9223469653040226, 0.6679159816067742]","['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",1095.4379621556755,0.25853320335225466
19,Wilson Lake ferrogabbro,darkblue,"[1091.851708622979, 1091.8099974724937, 1091.6232867370547, 1091.3640915207816, 1090.7104396104946, 1088.0215033879033, 1086.4046664450877, 1086.1386999522156]","[0.4925351441420653, 1.3504666868452266, 1.145497413526185, 0.6468340054792138, 1.5519506586625125, 1.0970624477162274, 1.9361350779929174, 2.658518775905628]","['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']",1091.6288060423644,0.34841171503396046
20,Silver Bay Aplite,darkblue,"[1091.766875, 1091.6649869999999, 1091.482674, 1091.481092, 1091.451626, 1091.303084]","[0.318121361, 0.298447953, 0.354731588, 0.378989521, 0.445188905, 0.34078305299999995]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1091.61,0.14
